in.ahs_region	"CBSA Atlanta-Sandy Springs-Roswell, GA"	"American Housing Survey region Atlanta-Sandy Springs-Roswell, GA"
in.ahs_region	"CBSA Boston-Cambridge-Newton, MA-NH"	"American Housing Survey region Boston-Cambridge-Newton, MA-NH"
in.ahs_region	"CBSA Chicago-Naperville-Elgin, IL-IN-WI"	"American Housing Survey region Chicago-Naperville-Elgin, IL-IN-WI"
in.ahs_region	"CBSA Dallas-Fort Worth-Arlington, TX"	"American Housing Survey region Dallas-Fort Worth-Arlington, TX"
in.ahs_region	"CBSA Detroit-Warren-Dearborn, MI"	"American Housing Survey region Detroit-Warren-Dearborn, MI"
in.ahs_region	"CBSA Houston-The Woodlands-Sugar Land, TX"	"American Housing Survey region Houston-The Woodlands-Sugar Land, TX"
in.ahs_region	"CBSA Los Angeles-Long Beach-Anaheim, CA"	"American Housing Survey region Los Angeles-Long Beach-Anaheim, CA"
in.ahs_region	"CBSA Miami-Fort Lauderdale-West Palm Beach, FL"	"American Housing Survey region Miami-Fort Lauderdale-West Palm Beach, FL"
in.ahs_region	"CBSA New York-Newark-Jersey City, NY-NJ-PA"	"American Housing Survey region New York-Newark-Jersey City, NY-NJ-PA"
in.ahs_region	"CBSA Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"	"American Housing Survey region Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
in.ahs_region	"CBSA Phoenix-Mesa-Scottsdale, AZ"	"American Housing Survey region Phoenix-Mesa-Scottsdale, AZ"
in.ahs_region	"CBSA Riverside-San Bernardino-Ontario, CA"	"American Housing Survey region Riverside-San Bernardino-Ontario, CA"
in.ahs_region	"CBSA San Francisco-Oakland-Hayward, CA"	"American Housing Survey region San Francisco-Oakland-Hayward, CA"
in.ahs_region	"CBSA Seattle-Tacoma-Bellevue, WA"	"American Housing Survey region Seattle-Tacoma-Bellevue, WA"
in.ahs_region	"CBSA Washington-Arlington-Alexandria, DC-VA-MD-WV"	"American Housing Survey region Washington-Arlington-Alexandria, DC-VA-MD-WV"
in.ahs_region	Non-CBSA East North Central	American Housing Survey region BSA East North Central
in.ahs_region	Non-CBSA East South Central	American Housing Survey region BSA East South Central
in.ahs_region	Non-CBSA Middle Atlantic	American Housing Survey region BSA Middle Atlantic
in.ahs_region	Non-CBSA Mountain	American Housing Survey region BSA Mountain
in.ahs_region	Non-CBSA New England	American Housing Survey region BSA New England
in.ahs_region	Non-CBSA Pacific	American Housing Survey region BSA Pacific
in.ahs_region	Non-CBSA South Atlantic	American Housing Survey region BSA South Atlantic
in.ahs_region	Non-CBSA West North Central	American Housing Survey region BSA West North Central
in.ahs_region	Non-CBSA West South Central	American Housing Survey region BSA West South Central
in.representative_income	290560	Representative total house income in the dwelling unit is $290560
in.representative_income	290578	Representative total house income in the dwelling unit is $290578
in.representative_income	290609	Representative total house income in the dwelling unit is $290609
in.representative_income	290638	Representative total house income in the dwelling unit is $290638
in.representative_income	290646	Representative total house income in the dwelling unit is $290646
in.representative_income	290664	Representative total house income in the dwelling unit is $290664
in.representative_income	290690	Representative total house income in the dwelling unit is $290690
in.representative_income	290720	Representative total house income in the dwelling unit is $290720
in.representative_income	290766	Representative total house income in the dwelling unit is $290766
in.representative_income	290858	Representative total house income in the dwelling unit is $290858
in.representative_income	290862	Representative total house income in the dwelling unit is $290862
in.representative_income	290869	Representative total house income in the dwelling unit is $290869
in.representative_income	290901	Representative total house income in the dwelling unit is $290901
in.representative_income	290905	Representative total house income in the dwelling unit is $290905
in.representative_income	290921	Representative total house income in the dwelling unit is $290921
in.representative_income	290922	Representative total house income in the dwelling unit is $290922
in.representative_income	290973	Representative total house income in the dwelling unit is $290973
in.representative_income	291071	Representative total house income in the dwelling unit is $291071
in.representative_income	291076	Representative total house income in the dwelling unit is $291076
in.representative_income	291119	Representative total house income in the dwelling unit is $291119
in.representative_income	291128	Representative total house income in the dwelling unit is $291128
in.representative_income	291177	Representative total house income in the dwelling unit is $291177
in.representative_income	291225	Representative total house income in the dwelling unit is $291225
in.representative_income	291227	Representative total house income in the dwelling unit is $291227
in.representative_income	291231	Representative total house income in the dwelling unit is $291231
in.representative_income	291272	Representative total house income in the dwelling unit is $291272
in.representative_income	291282	Representative total house income in the dwelling unit is $291282
in.representative_income	291293	Representative total house income in the dwelling unit is $291293
in.representative_income	291295	Representative total house income in the dwelling unit is $291295
in.representative_income	291326	Representative total house income in the dwelling unit is $291326
in.representative_income	291334	Representative total house income in the dwelling unit is $291334
in.representative_income	291385	Representative total house income in the dwelling unit is $291385
in.representative_income	291387	Representative total house income in the dwelling unit is $291387
in.representative_income	291427	Representative total house income in the dwelling unit is $291427
in.representative_income	291442	Representative total house income in the dwelling unit is $291442
in.representative_income	291488	Representative total house income in the dwelling unit is $291488
in.representative_income	291493	Representative total house income in the dwelling unit is $291493
in.representative_income	291511	Representative total house income in the dwelling unit is $291511
in.representative_income	291528	Representative total house income in the dwelling unit is $291528
in.representative_income	291548	Representative total house income in the dwelling unit is $291548
in.representative_income	291656	Representative total house income in the dwelling unit is $291656
in.representative_income	291686	Representative total house income in the dwelling unit is $291686
in.representative_income	291695	Representative total house income in the dwelling unit is $291695
in.representative_income	291704	Representative total house income in the dwelling unit is $291704
in.representative_income	291727	Representative total house income in the dwelling unit is $291727
in.representative_income	291730	Representative total house income in the dwelling unit is $291730
in.representative_income	291763	Representative total house income in the dwelling unit is $291763
in.representative_income	291809	Representative total house income in the dwelling unit is $291809
in.representative_income	291834	Representative total house income in the dwelling unit is $291834
in.representative_income	291901	Representative total house income in the dwelling unit is $291901
in.representative_income	291915	Representative total house income in the dwelling unit is $291915
in.representative_income	291932	Representative total house income in the dwelling unit is $291932
in.representative_income	291943	Representative total house income in the dwelling unit is $291943
in.representative_income	291952	Representative total house income in the dwelling unit is $291952
in.representative_income	291978	Representative total house income in the dwelling unit is $291978
in.representative_income	292000	Representative total house income in the dwelling unit is $292000
in.representative_income	292051	Representative total house income in the dwelling unit is $292051
in.representative_income	292086	Representative total house income in the dwelling unit is $292086
in.representative_income	292107	Representative total house income in the dwelling unit is $292107
in.representative_income	292125	Representative total house income in the dwelling unit is $292125
in.representative_income	292134	Representative total house income in the dwelling unit is $292134
in.representative_income	292267	Representative total house income in the dwelling unit is $292267
in.representative_income	292314	Representative total house income in the dwelling unit is $292314
in.representative_income	292336	Representative total house income in the dwelling unit is $292336
in.representative_income	292337	Representative total house income in the dwelling unit is $292337
in.representative_income	292375	Representative total house income in the dwelling unit is $292375
in.representative_income	292379	Representative total house income in the dwelling unit is $292379
in.representative_income	292437	Representative total house income in the dwelling unit is $292437
in.representative_income	292444	Representative total house income in the dwelling unit is $292444
in.representative_income	292515	Representative total house income in the dwelling unit is $292515
in.representative_income	292520	Representative total house income in the dwelling unit is $292520
in.representative_income	292538	Representative total house income in the dwelling unit is $292538
in.representative_income	292568	Representative total house income in the dwelling unit is $292568
in.representative_income	292591	Representative total house income in the dwelling unit is $292591
in.representative_income	292623	Representative total house income in the dwelling unit is $292623
in.representative_income	292653	Representative total house income in the dwelling unit is $292653
in.representative_income	292654	Representative total house income in the dwelling unit is $292654
in.representative_income	292700	Representative total house income in the dwelling unit is $292700
in.representative_income	292726	Representative total house income in the dwelling unit is $292726
in.representative_income	292740	Representative total house income in the dwelling unit is $292740
in.representative_income	292758	Representative total house income in the dwelling unit is $292758
in.representative_income	292808	Representative total house income in the dwelling unit is $292808
in.representative_income	292813	Representative total house income in the dwelling unit is $292813
in.representative_income	292830	Representative total house income in the dwelling unit is $292830
in.representative_income	292837	Representative total house income in the dwelling unit is $292837
in.representative_income	292841	Representative total house income in the dwelling unit is $292841
in.representative_income	292864	Representative total house income in the dwelling unit is $292864
in.representative_income	292916	Representative total house income in the dwelling unit is $292916
in.representative_income	292932	Representative total house income in the dwelling unit is $292932
in.representative_income	292942	Representative total house income in the dwelling unit is $292942
in.representative_income	292970	Representative total house income in the dwelling unit is $292970
in.representative_income	292984	Representative total house income in the dwelling unit is $292984
in.representative_income	293023	Representative total house income in the dwelling unit is $293023
in.representative_income	293035	Representative total house income in the dwelling unit is $293035
in.representative_income	293043	Representative total house income in the dwelling unit is $293043
in.representative_income	293052	Representative total house income in the dwelling unit is $293052
in.representative_income	293058	Representative total house income in the dwelling unit is $293058
in.representative_income	293131	Representative total house income in the dwelling unit is $293131
in.representative_income	293144	Representative total house income in the dwelling unit is $293144
in.representative_income	293159	Representative total house income in the dwelling unit is $293159
in.representative_income	293180	Representative total house income in the dwelling unit is $293180
in.representative_income	293242	Representative total house income in the dwelling unit is $293242
in.representative_income	293267	Representative total house income in the dwelling unit is $293267
in.representative_income	293346	Representative total house income in the dwelling unit is $293346
in.representative_income	293373	Representative total house income in the dwelling unit is $293373
in.representative_income	293447	Representative total house income in the dwelling unit is $293447
in.representative_income	293449	Representative total house income in the dwelling unit is $293449
in.representative_income	293455	Representative total house income in the dwelling unit is $293455
in.representative_income	293548	Representative total house income in the dwelling unit is $293548
in.representative_income	293602	Representative total house income in the dwelling unit is $293602
in.representative_income	293672	Representative total house income in the dwelling unit is $293672
in.representative_income	293696	Representative total house income in the dwelling unit is $293696
in.representative_income	293749	Representative total house income in the dwelling unit is $293749
in.representative_income	293803	Representative total house income in the dwelling unit is $293803
in.representative_income	293812	Representative total house income in the dwelling unit is $293812
in.representative_income	293813	Representative total house income in the dwelling unit is $293813
in.representative_income	293851	Representative total house income in the dwelling unit is $293851
in.representative_income	293888	Representative total house income in the dwelling unit is $293888
in.representative_income	293913	Representative total house income in the dwelling unit is $293913
in.representative_income	293952	Representative total house income in the dwelling unit is $293952
in.representative_income	293964	Representative total house income in the dwelling unit is $293964
in.representative_income	293996	Representative total house income in the dwelling unit is $293996
in.representative_income	294053	Representative total house income in the dwelling unit is $294053
in.representative_income	294125	Representative total house income in the dwelling unit is $294125
in.representative_income	294154	Representative total house income in the dwelling unit is $294154
in.representative_income	294170	Representative total house income in the dwelling unit is $294170
in.representative_income	294235	Representative total house income in the dwelling unit is $294235
in.representative_income	294273	Representative total house income in the dwelling unit is $294273
in.representative_income	294318	Representative total house income in the dwelling unit is $294318
in.representative_income	294320	Representative total house income in the dwelling unit is $294320
in.representative_income	294340	Representative total house income in the dwelling unit is $294340
in.representative_income	294341	Representative total house income in the dwelling unit is $294341
in.representative_income	294374	Representative total house income in the dwelling unit is $294374
in.representative_income	294376	Representative total house income in the dwelling unit is $294376
in.representative_income	294377	Representative total house income in the dwelling unit is $294377
in.representative_income	294387	Representative total house income in the dwelling unit is $294387
in.representative_income	294428	Representative total house income in the dwelling unit is $294428
in.representative_income	294446	Representative total house income in the dwelling unit is $294446
in.representative_income	294480	Representative total house income in the dwelling unit is $294480
in.representative_income	294536	Representative total house income in the dwelling unit is $294536
in.representative_income	294659	Representative total house income in the dwelling unit is $294659
in.representative_income	294662	Representative total house income in the dwelling unit is $294662
in.representative_income	294686	Representative total house income in the dwelling unit is $294686
in.representative_income	294696	Representative total house income in the dwelling unit is $294696
in.representative_income	294769	Representative total house income in the dwelling unit is $294769
in.representative_income	294861	Representative total house income in the dwelling unit is $294861
in.representative_income	294962	Representative total house income in the dwelling unit is $294962
in.representative_income	294968	Representative total house income in the dwelling unit is $294968
in.representative_income	294973	Representative total house income in the dwelling unit is $294973
in.representative_income	294983	Representative total house income in the dwelling unit is $294983
in.representative_income	294996	Representative total house income in the dwelling unit is $294996
in.representative_income	295034	Representative total house income in the dwelling unit is $295034
in.representative_income	295077	Representative total house income in the dwelling unit is $295077
in.representative_income	295079	Representative total house income in the dwelling unit is $295079
in.representative_income	295124	Representative total house income in the dwelling unit is $295124
in.representative_income	295184	Representative total house income in the dwelling unit is $295184
in.representative_income	295198	Representative total house income in the dwelling unit is $295198
in.representative_income	295201	Representative total house income in the dwelling unit is $295201
in.representative_income	295253	Representative total house income in the dwelling unit is $295253
in.representative_income	295265	Representative total house income in the dwelling unit is $295265
in.representative_income	295289	Representative total house income in the dwelling unit is $295289
in.representative_income	295305	Representative total house income in the dwelling unit is $295305
in.representative_income	295306	Representative total house income in the dwelling unit is $295306
in.representative_income	295401	Representative total house income in the dwelling unit is $295401
in.representative_income	295408	Representative total house income in the dwelling unit is $295408
in.representative_income	295413	Representative total house income in the dwelling unit is $295413
in.representative_income	295467	Representative total house income in the dwelling unit is $295467
in.representative_income	295501	Representative total house income in the dwelling unit is $295501
in.representative_income	295508	Representative total house income in the dwelling unit is $295508
in.representative_income	295511	Representative total house income in the dwelling unit is $295511
in.representative_income	295521	Representative total house income in the dwelling unit is $295521
in.representative_income	295568	Representative total house income in the dwelling unit is $295568
in.representative_income	295575	Representative total house income in the dwelling unit is $295575
in.representative_income	295627	Representative total house income in the dwelling unit is $295627
in.representative_income	295711	Representative total house income in the dwelling unit is $295711
in.representative_income	295735	Representative total house income in the dwelling unit is $295735
in.representative_income	295743	Representative total house income in the dwelling unit is $295743
in.representative_income	295775	Representative total house income in the dwelling unit is $295775
in.representative_income	295779	Representative total house income in the dwelling unit is $295779
in.representative_income	295820	Representative total house income in the dwelling unit is $295820
in.representative_income	295832	Representative total house income in the dwelling unit is $295832
in.representative_income	295843	Representative total house income in the dwelling unit is $295843
in.representative_income	295871	Representative total house income in the dwelling unit is $295871
in.representative_income	295922	Representative total house income in the dwelling unit is $295922
in.representative_income	295924	Representative total house income in the dwelling unit is $295924
in.representative_income	295973	Representative total house income in the dwelling unit is $295973
in.representative_income	295979	Representative total house income in the dwelling unit is $295979
in.representative_income	296023	Representative total house income in the dwelling unit is $296023
in.representative_income	296027	Representative total house income in the dwelling unit is $296027
in.representative_income	296028	Representative total house income in the dwelling unit is $296028
in.representative_income	296049	Representative total house income in the dwelling unit is $296049
in.representative_income	296074	Representative total house income in the dwelling unit is $296074
in.representative_income	296130	Representative total house income in the dwelling unit is $296130
in.representative_income	296151	Representative total house income in the dwelling unit is $296151
in.representative_income	296175	Representative total house income in the dwelling unit is $296175
in.representative_income	296233	Representative total house income in the dwelling unit is $296233
in.representative_income	296239	Representative total house income in the dwelling unit is $296239
in.representative_income	296265	Representative total house income in the dwelling unit is $296265
in.representative_income	296272	Representative total house income in the dwelling unit is $296272
in.representative_income	296315	Representative total house income in the dwelling unit is $296315
in.representative_income	296344	Representative total house income in the dwelling unit is $296344
in.representative_income	296379	Representative total house income in the dwelling unit is $296379
in.representative_income	296449	Representative total house income in the dwelling unit is $296449
in.representative_income	296491	Representative total house income in the dwelling unit is $296491
in.representative_income	296543	Representative total house income in the dwelling unit is $296543
in.representative_income	296573	Representative total house income in the dwelling unit is $296573
in.representative_income	296579	Representative total house income in the dwelling unit is $296579
in.representative_income	296589	Representative total house income in the dwelling unit is $296589
in.representative_income	296594	Representative total house income in the dwelling unit is $296594
in.representative_income	296599	Representative total house income in the dwelling unit is $296599
in.representative_income	296608	Representative total house income in the dwelling unit is $296608
in.representative_income	296615	Representative total house income in the dwelling unit is $296615
in.representative_income	296629	Representative total house income in the dwelling unit is $296629
in.representative_income	296680	Representative total house income in the dwelling unit is $296680
in.representative_income	296697	Representative total house income in the dwelling unit is $296697
in.representative_income	296724	Representative total house income in the dwelling unit is $296724
in.representative_income	296781	Representative total house income in the dwelling unit is $296781
in.representative_income	296791	Representative total house income in the dwelling unit is $296791
in.representative_income	296795	Representative total house income in the dwelling unit is $296795
in.representative_income	296808	Representative total house income in the dwelling unit is $296808
in.representative_income	296854	Representative total house income in the dwelling unit is $296854
in.representative_income	296893	Representative total house income in the dwelling unit is $296893
in.representative_income	296983	Representative total house income in the dwelling unit is $296983
in.representative_income	297021	Representative total house income in the dwelling unit is $297021
in.representative_income	297024	Representative total house income in the dwelling unit is $297024
in.representative_income	297038	Representative total house income in the dwelling unit is $297038
in.representative_income	297058	Representative total house income in the dwelling unit is $297058
in.representative_income	297084	Representative total house income in the dwelling unit is $297084
in.representative_income	297108	Representative total house income in the dwelling unit is $297108
in.representative_income	297129	Representative total house income in the dwelling unit is $297129
in.representative_income	297131	Representative total house income in the dwelling unit is $297131
in.representative_income	297238	Representative total house income in the dwelling unit is $297238
in.representative_income	297248	Representative total house income in the dwelling unit is $297248
in.representative_income	297265	Representative total house income in the dwelling unit is $297265
in.representative_income	297291	Representative total house income in the dwelling unit is $297291
in.representative_income	297294	Representative total house income in the dwelling unit is $297294
in.representative_income	297316	Representative total house income in the dwelling unit is $297316
in.representative_income	297345	Representative total house income in the dwelling unit is $297345
in.representative_income	297346	Representative total house income in the dwelling unit is $297346
in.representative_income	297367	Representative total house income in the dwelling unit is $297367
in.representative_income	297399	Representative total house income in the dwelling unit is $297399
in.representative_income	297460	Representative total house income in the dwelling unit is $297460
in.representative_income	297488	Representative total house income in the dwelling unit is $297488
in.representative_income	297560	Representative total house income in the dwelling unit is $297560
in.representative_income	297574	Representative total house income in the dwelling unit is $297574
in.representative_income	297610	Representative total house income in the dwelling unit is $297610
in.representative_income	297663	Representative total house income in the dwelling unit is $297663
in.representative_income	297691	Representative total house income in the dwelling unit is $297691
in.representative_income	297737	Representative total house income in the dwelling unit is $297737
in.representative_income	297820	Representative total house income in the dwelling unit is $297820
in.representative_income	297883	Representative total house income in the dwelling unit is $297883
in.representative_income	297892	Representative total house income in the dwelling unit is $297892
in.representative_income	297976	Representative total house income in the dwelling unit is $297976
in.representative_income	297986	Representative total house income in the dwelling unit is $297986
in.representative_income	297989	Representative total house income in the dwelling unit is $297989
in.representative_income	297993	Representative total house income in the dwelling unit is $297993
in.representative_income	298090	Representative total house income in the dwelling unit is $298090
in.representative_income	298094	Representative total house income in the dwelling unit is $298094
in.representative_income	298101	Representative total house income in the dwelling unit is $298101
in.representative_income	298172	Representative total house income in the dwelling unit is $298172
in.representative_income	298195	Representative total house income in the dwelling unit is $298195
in.representative_income	298204	Representative total house income in the dwelling unit is $298204
in.representative_income	298209	Representative total house income in the dwelling unit is $298209
in.representative_income	298296	Representative total house income in the dwelling unit is $298296
in.representative_income	298318	Representative total house income in the dwelling unit is $298318
in.representative_income	298346	Representative total house income in the dwelling unit is $298346
in.representative_income	298348	Representative total house income in the dwelling unit is $298348
in.representative_income	298400	Representative total house income in the dwelling unit is $298400
in.representative_income	298418	Representative total house income in the dwelling unit is $298418
in.representative_income	298453	Representative total house income in the dwelling unit is $298453
in.representative_income	298599	Representative total house income in the dwelling unit is $298599
in.representative_income	298605	Representative total house income in the dwelling unit is $298605
in.representative_income	298634	Representative total house income in the dwelling unit is $298634
in.representative_income	298642	Representative total house income in the dwelling unit is $298642
in.representative_income	298665	Representative total house income in the dwelling unit is $298665
in.representative_income	298700	Representative total house income in the dwelling unit is $298700
in.representative_income	298741	Representative total house income in the dwelling unit is $298741
in.representative_income	298750	Representative total house income in the dwelling unit is $298750
in.representative_income	298761	Representative total house income in the dwelling unit is $298761
in.representative_income	298812	Representative total house income in the dwelling unit is $298812
in.representative_income	298849	Representative total house income in the dwelling unit is $298849
in.representative_income	298875	Representative total house income in the dwelling unit is $298875
in.representative_income	298902	Representative total house income in the dwelling unit is $298902
in.representative_income	298955	Representative total house income in the dwelling unit is $298955
in.representative_income	298980	Representative total house income in the dwelling unit is $298980
in.representative_income	299003	Representative total house income in the dwelling unit is $299003
in.representative_income	299009	Representative total house income in the dwelling unit is $299009
in.representative_income	299018	Representative total house income in the dwelling unit is $299018
in.representative_income	299104	Representative total house income in the dwelling unit is $299104
in.representative_income	299112	Representative total house income in the dwelling unit is $299112
in.representative_income	299121	Representative total house income in the dwelling unit is $299121
in.representative_income	299135	Representative total house income in the dwelling unit is $299135
in.representative_income	299139	Representative total house income in the dwelling unit is $299139
in.representative_income	299182	Representative total house income in the dwelling unit is $299182
in.representative_income	299183	Representative total house income in the dwelling unit is $299183
in.representative_income	299224	Representative total house income in the dwelling unit is $299224
in.representative_income	299278	Representative total house income in the dwelling unit is $299278
in.representative_income	299290	Representative total house income in the dwelling unit is $299290
in.representative_income	299314	Representative total house income in the dwelling unit is $299314
in.representative_income	299328	Representative total house income in the dwelling unit is $299328
in.representative_income	299385	Representative total house income in the dwelling unit is $299385
in.representative_income	299387	Representative total house income in the dwelling unit is $299387
in.representative_income	299431	Representative total house income in the dwelling unit is $299431
in.representative_income	299492	Representative total house income in the dwelling unit is $299492
in.representative_income	299506	Representative total house income in the dwelling unit is $299506
in.representative_income	299508	Representative total house income in the dwelling unit is $299508
in.representative_income	299533	Representative total house income in the dwelling unit is $299533
in.representative_income	299603	Representative total house income in the dwelling unit is $299603
in.representative_income	299609	Representative total house income in the dwelling unit is $299609
in.representative_income	299707	Representative total house income in the dwelling unit is $299707
in.representative_income	299718	Representative total house income in the dwelling unit is $299718
in.representative_income	299740	Representative total house income in the dwelling unit is $299740
in.representative_income	299831	Representative total house income in the dwelling unit is $299831
in.representative_income	299846	Representative total house income in the dwelling unit is $299846
in.representative_income	299896	Representative total house income in the dwelling unit is $299896
in.representative_income	299947	Representative total house income in the dwelling unit is $299947
in.representative_income	300013	Representative total house income in the dwelling unit is $300013
in.representative_income	300029	Representative total house income in the dwelling unit is $300029
in.representative_income	300035	Representative total house income in the dwelling unit is $300035
in.representative_income	300064	Representative total house income in the dwelling unit is $300064
in.representative_income	300114	Representative total house income in the dwelling unit is $300114
in.representative_income	300136	Representative total house income in the dwelling unit is $300136
in.representative_income	300152	Representative total house income in the dwelling unit is $300152
in.representative_income	300155	Representative total house income in the dwelling unit is $300155
in.representative_income	300215	Representative total house income in the dwelling unit is $300215
in.representative_income	300244	Representative total house income in the dwelling unit is $300244
in.representative_income	300262	Representative total house income in the dwelling unit is $300262
in.representative_income	300316	Representative total house income in the dwelling unit is $300316
in.representative_income	300351	Representative total house income in the dwelling unit is $300351
in.representative_income	300359	Representative total house income in the dwelling unit is $300359
in.representative_income	300370	Representative total house income in the dwelling unit is $300370
in.representative_income	300417	Representative total house income in the dwelling unit is $300417
in.representative_income	300458	Representative total house income in the dwelling unit is $300458
in.representative_income	300459	Representative total house income in the dwelling unit is $300459
in.representative_income	300478	Representative total house income in the dwelling unit is $300478
in.representative_income	300498	Representative total house income in the dwelling unit is $300498
in.representative_income	300518	Representative total house income in the dwelling unit is $300518
in.representative_income	300563	Representative total house income in the dwelling unit is $300563
in.representative_income	300566	Representative total house income in the dwelling unit is $300566
in.representative_income	300598	Representative total house income in the dwelling unit is $300598
in.representative_income	300609	Representative total house income in the dwelling unit is $300609
in.representative_income	300615	Representative total house income in the dwelling unit is $300615
in.representative_income	300619	Representative total house income in the dwelling unit is $300619
in.representative_income	300620	Representative total house income in the dwelling unit is $300620
in.representative_income	300668	Representative total house income in the dwelling unit is $300668
in.representative_income	300720	Representative total house income in the dwelling unit is $300720
in.representative_income	300721	Representative total house income in the dwelling unit is $300721
in.representative_income	300727	Representative total house income in the dwelling unit is $300727
in.representative_income	300773	Representative total house income in the dwelling unit is $300773
in.representative_income	300780	Representative total house income in the dwelling unit is $300780
in.representative_income	300821	Representative total house income in the dwelling unit is $300821
in.representative_income	300875	Representative total house income in the dwelling unit is $300875
in.representative_income	300911	Representative total house income in the dwelling unit is $300911
in.representative_income	300978	Representative total house income in the dwelling unit is $300978
in.representative_income	300984	Representative total house income in the dwelling unit is $300984
in.representative_income	301019	Representative total house income in the dwelling unit is $301019
in.representative_income	301023	Representative total house income in the dwelling unit is $301023
in.representative_income	301073	Representative total house income in the dwelling unit is $301073
in.representative_income	301127	Representative total house income in the dwelling unit is $301127
in.representative_income	301184	Representative total house income in the dwelling unit is $301184
in.representative_income	301185	Representative total house income in the dwelling unit is $301185
in.representative_income	301196	Representative total house income in the dwelling unit is $301196
in.representative_income	301287	Representative total house income in the dwelling unit is $301287
in.representative_income	301424	Representative total house income in the dwelling unit is $301424
in.representative_income	301442	Representative total house income in the dwelling unit is $301442
in.representative_income	301452	Representative total house income in the dwelling unit is $301452
in.representative_income	301528	Representative total house income in the dwelling unit is $301528
in.representative_income	301559	Representative total house income in the dwelling unit is $301559
in.representative_income	301597	Representative total house income in the dwelling unit is $301597
in.representative_income	301613	Representative total house income in the dwelling unit is $301613
in.representative_income	301617	Representative total house income in the dwelling unit is $301617
in.representative_income	301629	Representative total house income in the dwelling unit is $301629
in.representative_income	301640	Representative total house income in the dwelling unit is $301640
in.representative_income	301667	Representative total house income in the dwelling unit is $301667
in.representative_income	301699	Representative total house income in the dwelling unit is $301699
in.representative_income	301723	Representative total house income in the dwelling unit is $301723
in.representative_income	301730	Representative total house income in the dwelling unit is $301730
in.representative_income	301775	Representative total house income in the dwelling unit is $301775
in.representative_income	301828	Representative total house income in the dwelling unit is $301828
in.representative_income	301831	Representative total house income in the dwelling unit is $301831
in.representative_income	301854	Representative total house income in the dwelling unit is $301854
in.representative_income	301883	Representative total house income in the dwelling unit is $301883
in.representative_income	301892	Representative total house income in the dwelling unit is $301892
in.representative_income	301926	Representative total house income in the dwelling unit is $301926
in.representative_income	301961	Representative total house income in the dwelling unit is $301961
in.representative_income	302009	Representative total house income in the dwelling unit is $302009
in.representative_income	302030	Representative total house income in the dwelling unit is $302030
in.representative_income	302033	Representative total house income in the dwelling unit is $302033
in.representative_income	302047	Representative total house income in the dwelling unit is $302047
in.representative_income	302074	Representative total house income in the dwelling unit is $302074
in.representative_income	302099	Representative total house income in the dwelling unit is $302099
in.representative_income	302113	Representative total house income in the dwelling unit is $302113
in.representative_income	302134	Representative total house income in the dwelling unit is $302134
in.representative_income	302176	Representative total house income in the dwelling unit is $302176
in.representative_income	302208	Representative total house income in the dwelling unit is $302208
in.representative_income	302216	Representative total house income in the dwelling unit is $302216
in.representative_income	302235	Representative total house income in the dwelling unit is $302235
in.representative_income	302250	Representative total house income in the dwelling unit is $302250
in.representative_income	302283	Representative total house income in the dwelling unit is $302283
in.representative_income	302395	Representative total house income in the dwelling unit is $302395
in.representative_income	302482	Representative total house income in the dwelling unit is $302482
in.representative_income	302498	Representative total house income in the dwelling unit is $302498
in.representative_income	302532	Representative total house income in the dwelling unit is $302532
in.representative_income	302596	Representative total house income in the dwelling unit is $302596
in.representative_income	302639	Representative total house income in the dwelling unit is $302639
in.representative_income	302640	Representative total house income in the dwelling unit is $302640
in.representative_income	302672	Representative total house income in the dwelling unit is $302672
in.representative_income	302713	Representative total house income in the dwelling unit is $302713
in.representative_income	302820	Representative total house income in the dwelling unit is $302820
in.representative_income	302830	Representative total house income in the dwelling unit is $302830
in.representative_income	302834	Representative total house income in the dwelling unit is $302834
in.representative_income	302841	Representative total house income in the dwelling unit is $302841
in.representative_income	302855	Representative total house income in the dwelling unit is $302855
in.representative_income	302943	Representative total house income in the dwelling unit is $302943
in.representative_income	302989	Representative total house income in the dwelling unit is $302989
in.representative_income	303041	Representative total house income in the dwelling unit is $303041
in.representative_income	303044	Representative total house income in the dwelling unit is $303044
in.representative_income	303144	Representative total house income in the dwelling unit is $303144
in.representative_income	303145	Representative total house income in the dwelling unit is $303145
in.representative_income	303246	Representative total house income in the dwelling unit is $303246
in.representative_income	303247	Representative total house income in the dwelling unit is $303247
in.representative_income	303350	Representative total house income in the dwelling unit is $303350
in.representative_income	303410	Representative total house income in the dwelling unit is $303410
in.representative_income	303433	Representative total house income in the dwelling unit is $303433
in.representative_income	303448	Representative total house income in the dwelling unit is $303448
in.representative_income	303515	Representative total house income in the dwelling unit is $303515
in.representative_income	303549	Representative total house income in the dwelling unit is $303549
in.representative_income	303571	Representative total house income in the dwelling unit is $303571
in.representative_income	303609	Representative total house income in the dwelling unit is $303609
in.representative_income	303612	Representative total house income in the dwelling unit is $303612
in.representative_income	303633	Representative total house income in the dwelling unit is $303633
in.representative_income	303710	Representative total house income in the dwelling unit is $303710
in.representative_income	303720	Representative total house income in the dwelling unit is $303720
in.representative_income	303727	Representative total house income in the dwelling unit is $303727
in.representative_income	303751	Representative total house income in the dwelling unit is $303751
